origem,destino,acao,peso_sugerido,numero_pr
yonaskolb,hiltonc,APPROVED,4,1413
yonaskolb,arkonxu,COMMENTED,4,1410
yonaskolb,sohamtembhurne,MERGE,5,1407
yonaskolb,sohamtembhurne,APPROVED,4,1407
yonaskolb,ahmedk92,MERGE,5,1405
yonaskolb,ahmedk92,APPROVED,4,1405
yonaskolb,aaron-foreflight,MERGE,5,1398
yonaskolb,aaron-foreflight,APPROVED,4,1398
yonaskolb,simonbs,MERGE,5,1395
freddi-kit,simonbs,COMMENTED,4,1395
freddi-kit,simonbs,COMMENTED,4,1395
yonaskolb,simonbs,COMMENTED,4,1395
yonaskolb,simonbs,COMMENTED,4,1395
yonaskolb,simonbs,APPROVED,4,1395
yonaskolb,BarredEwe,MERGE,5,1390
yonaskolb,BarredEwe,APPROVED,4,1390
yonaskolb,freddi-kit,MERGE,5,1388
yonaskolb,freddi-kit,COMMENTED,4,1388
yonaskolb,freddi-kit,COMMENTED,4,1388
yonaskolb,freddi-kit,APPROVED,4,1388
yonaskolb,kaseken,MERGE,5,1382
yonaskolb,kaseken,APPROVED,4,1382
yonaskolb,piellarda,MERGE,5,1380
yonaskolb,piellarda,COMMENTED,4,1380
yonaskolb,piellarda,APPROVED,4,1380
yonaskolb,shiba1014,MERGE,5,1379
freddi-kit,shiba1014,COMMENTED,4,1379
freddi-kit,shiba1014,COMMENTED,4,1379
giginet,shiba1014,COMMENTED,4,1379
freddi-kit,shiba1014,COMMENTED,4,1379
freddi-kit,shiba1014,APPROVED,4,1379
giginet,shiba1014,APPROVED,4,1379
yonaskolb,shiba1014,APPROVED,4,1379
yonaskolb,liamnichols,MERGE,5,1378
yonaskolb,liamnichols,COMMENTED,4,1378
yonaskolb,liamnichols,APPROVED,4,1378
yonaskolb,liamnichols,APPROVED,4,1378
yonaskolb,liamnichols,MERGE,5,1377
yonaskolb,liamnichols,COMMENTED,4,1377
yonaskolb,liamnichols,APPROVED,4,1377
yonaskolb,chessbyte,MERGE,5,1376
yonaskolb,chessbyte,APPROVED,4,1376
yonaskolb,BarredEwe,MERGE,5,1374
yonaskolb,BarredEwe,COMMENTED,4,1374
freddi-kit,BarredEwe,COMMENTED,4,1374
freddi-kit,BarredEwe,APPROVED,4,1374
yonaskolb,BarredEwe,COMMENTED,4,1374
freddi-kit,BarredEwe,COMMENTED,4,1374
freddi-kit,BarredEwe,COMMENTED,4,1374
yonaskolb,BarredEwe,APPROVED,4,1374
yonaskolb,leonardorock,MERGE,5,1368
yonaskolb,leonardorock,COMMENTED,4,1368
yonaskolb,leonardorock,APPROVED,4,1368
jflan-dd,mthole,COMMENTED,4,1366
yonaskolb,OdNairy,MERGE,5,1354
yonaskolb,OdNairy,APPROVED,4,1354
yonaskolb,bartoszkosiorek,MERGE,5,1353
yonaskolb,bartoszkosiorek,APPROVED,4,1353
yonaskolb,bartoszkosiorek,MERGE,5,1352
yonaskolb,bartoszkosiorek,APPROVED,4,1352
yonaskolb,bartoszkosiorek,COMMENTED,4,1352
yonaskolb,mat1th,MERGE,5,1351
yonaskolb,mat1th,COMMENTED,4,1351
teameh,mat1th,COMMENTED,4,1351
yonaskolb,mat1th,COMMENTED,4,1351
yonaskolb,mat1th,APPROVED,4,1351
yonaskolb,ghost,MERGE,5,1341
Brian-MobileTeam,ghost,APPROVED,4,1341
vguerci,ghost,COMMENTED,4,1341
dalemyers,ghost,COMMENTED,4,1341
yonaskolb,ghost,COMMENTED,4,1341
yonaskolb,ghost,COMMENTED,4,1341
dalemyers,ghost,COMMENTED,4,1341
yonaskolb,ghost,APPROVED,4,1341
yonaskolb,stavares843,MERGE,5,1340
yonaskolb,stavares843,APPROVED,4,1340
yonaskolb,shnhrrsn,MERGE,5,1337
yonaskolb,shnhrrsn,COMMENTED,4,1337
yonaskolb,shnhrrsn,APPROVED,4,1337
yonaskolb,amatig,MERGE,5,1336
yonaskolb,amatig,COMMENTED,4,1336
yonaskolb,amatig,COMMENTED,4,1336
yonaskolb,amatig,COMMENTED,4,1336
yonaskolb,amatig,COMMENTED,4,1336
yonaskolb,amatig,COMMENTED,4,1336
yonaskolb,amatig,APPROVED,4,1336
yonaskolb,m-chojnacki,MERGE,5,1329
yonaskolb,m-chojnacki,APPROVED,4,1329
yonaskolb,tzxdtc,MERGE,5,1328
yonaskolb,tzxdtc,COMMENTED,4,1328
yonaskolb,Iron-Ham,MERGE,5,1317
yonaskolb,Iron-Ham,COMMENTED,4,1317
yonaskolb,Iron-Ham,COMMENTED,4,1317
yonaskolb,Iron-Ham,APPROVED,4,1317
yonaskolb,Iron-Ham,MERGE,5,1316
yonaskolb,Iron-Ham,APPROVED,4,1316
yonaskolb,Iron-Ham,APPROVED,4,1316
yonaskolb,casperriboe,MERGE,5,1310
yonaskolb,casperriboe,COMMENTED,4,1310
yonaskolb,casperriboe,APPROVED,4,1310
yonaskolb,s2mr,MERGE,5,1298
yonaskolb,s2mr,APPROVED,4,1298
yonaskolb,s2mr,MERGE,5,1297
yonaskolb,s2mr,APPROVED,4,1297
yonaskolb,LouisLWang,MERGE,5,1294
yonaskolb,LouisLWang,COMMENTED,4,1294
yonaskolb,LouisLWang,COMMENTED,4,1294
yonaskolb,LouisLWang,APPROVED,4,1294
yonaskolb,ma-oli,MERGE,5,1275
yonaskolb,ma-oli,APPROVED,4,1275
yonaskolb,skofgar,MERGE,5,1270
yonaskolb,skofgar,APPROVED,4,1270
yonaskolb,CraigSiemens,MERGE,5,1262
