origem,destino,peso_sugerido,numero_issue
keith,rafalszastok,3,403
yonaskolb,brentleyjones,3,400
yonaskolb,ezegutierrez,3,395
yonaskolb,vgorloff,3,392
yonaskolb,fxcoudert,3,391
brentleyjones,frankdilo,3,386
yonaskolb,keehun,3,385
yonaskolb,keith,3,378
yonaskolb,brentleyjones,3,377
brentleyjones,danicoello,3,372
yonaskolb,danicoello,3,371
brentleyjones,rpassis,3,362
yonaskolb,TheCoordinator,3,357
yonaskolb,iamtomcat,3,335
brentleyjones,vgorloff,3,334
yonaskolb,brentleyjones,3,331
yonaskolb,erikkerber,3,330
yonaskolb,brentleyjones,3,329
yonaskolb,erikkerber,3,321
yonaskolb,philippelatulippe,3,320
yonaskolb,philippelatulippe,3,319
yonaskolb,Piasy,3,318
yonaskolb,cjwirth,3,315
yonaskolb,iamtomcat,3,314
yonaskolb,stevemoser,3,312
yonaskolb,m-ruhl,3,310
yonaskolb,albyok,3,309
yonaskolb,fabio914,3,305
yonaskolb,dflems,3,304
yonaskolb,Lutzifer,3,301
yonaskolb,abeintopalo,3,295
yonaskolb,radimhalfar,3,292
yonaskolb,Lutzifer,3,290
yonaskolb,Lutzifer,3,287
yonaskolb,Lutzifer,3,285
yonaskolb,tkrajacic,3,283
yonaskolb,abeintopalo,3,279
yonaskolb,abeintopalo,3,278
yonaskolb,LinusU,3,268
yonaskolb,LinusU,3,262
yonaskolb,iamtomcat,3,260
yonaskolb,toshi0383,3,253
yonaskolb,thecb4,3,247
yonaskolb,ralfebert,3,243
yonaskolb,libe,3,242
yonaskolb,olbrichj,3,240
yonaskolb,alvarhansen,3,237
yonaskolb,jerrymarino,3,235
yonaskolb,kastiglione,3,234
yonaskolb,kastiglione,3,228
yonaskolb,kastiglione,3,223
yonaskolb,keith,3,210
yonaskolb,gin0606,3,208
yonaskolb,vhbit,3,198
yonaskolb,vhbit,3,193
rahul-malik,bkase,3,189
yonaskolb,vhbit,3,188
yonaskolb,keith,3,183
yonaskolb,TheCoordinator,3,181
yonaskolb,TheCoordinator,3,180
yonaskolb,TheCoordinator,3,179
yonaskolb,alexruperez,3,169
yonaskolb,sbarow,3,163
yonaskolb,keith,3,150
yonaskolb,jerrymarino,3,143
yonaskolb,sbarow,3,140
yonaskolb,bkase,3,132
yonaskolb,keith,3,130
yonaskolb,keith,3,129
ryohey,jerrymarino,3,123
yonaskolb,toshi0383,3,114
yonaskolb,keith,3,110
yonaskolb,keith,3,92
yonaskolb,keith,3,91
yonaskolb,keith,3,89
yonaskolb,keith,3,88
yonaskolb,keith,3,87
yonaskolb,ryohey,3,62
yonaskolb,toshi0383,3,61
yonaskolb,toshi0383,3,59
yonaskolb,ehyche,3,58
yonaskolb,ImLaufderZeit,3,57
yonaskolb,daniel-beard,3,51
yonaskolb,ImLaufderZeit,3,47
yonaskolb,ImLaufderZeit,3,42
yonaskolb,ImLaufderZeit,3,41
yonaskolb,ImLaufderZeit,3,28
yonaskolb,ImLaufderZeit,3,27
yonaskolb,ImLaufderZeit,3,25
pepicrft,ImLaufderZeit,3,24
yonaskolb,HSchultjan,3,1
