origem,destino,tipo,peso_sugerido,numero_issue
yonaskolb,jcolicchio,pr,2,981
yonaskolb,koenpunt,pr,2,977
yonaskolb,stefanomondino,pr,2,976
yonaskolb,jcolicchio,pr,2,973
1oo7,edulpn,issue,2,972
yonaskolb,liambutler-lawrence,issue,2,969
brentleyjones,liambutler-lawrence,issue,2,969
yonaskolb,joshwalker,pr,2,967
yonaskolb,jcolicchio,pr,2,964
hakkurishian,JonasVautherin,issue,2,963
yonaskolb,liamnichols,pr,2,955
yonaskolb,liamnichols,pr,2,955
myihsan,liamnichols,issue,2,954
myihsan,liamnichols,issue,2,954
myihsan,liamnichols,issue,2,954
yonaskolb,rinsuki,pr,2,952
yonaskolb,raptorxcz,pr,2,951
jlott1,raptorxcz,pr,2,951
yonaskolb,raptorxcz,pr,2,951
yonaskolb,raptorxcz,pr,2,951
yonaskolb,raptorxcz,pr,2,951
daltonclaybrook,raptorxcz,pr,2,951
yonaskolb,sascha,pr,2,950
yonaskolb,sascha,pr,2,950
yonaskolb,RomanPodymov,pr,2,948
yonaskolb,RomanPodymov,pr,2,948
tkachenkovv,RomanPodymov,pr,2,948
4brunu,anivaros,pr,2,945
liamnichols,anivaros,pr,2,945
4brunu,anivaros,pr,2,945
joshuapoq,anivaros,pr,2,945
liamnichols,anivaros,pr,2,945
jcolicchio,gemmakbarlow,issue,2,944
jcolicchio,gemmakbarlow,issue,2,944
jcolicchio,gemmakbarlow,issue,2,944
jcolicchio,gemmakbarlow,issue,2,944
jcolicchio,gemmakbarlow,issue,2,944
jcolicchio,gemmakbarlow,issue,2,944
jcolicchio,gemmakbarlow,issue,2,944
FelixLisczyk,gemmakbarlow,issue,2,944
jcolicchio,gemmakbarlow,issue,2,944
FelixLisczyk,gemmakbarlow,issue,2,944
yonaskolb,gemmakbarlow,issue,2,944
FelixLisczyk,gemmakbarlow,issue,2,944
brentleyjones,daltonclaybrook,pr,2,942
yonaskolb,dflems,pr,2,936
brentleyjones,dflems,pr,2,936
yonaskolb,brentleyjones,pr,2,932
yonaskolb,pvinis,pr,2,931
brentleyjones,polac24,pr,2,929
yonaskolb,k-thorat,pr,2,920
