origem,destino,tipo,peso_sugerido,numero_issue
jsorge,pedroramos1449,issue,2,1365
jsorge,pedroramos1449,issue,2,1365
jsorge,pedroramos1449,issue,2,1365
jsorge,pedroramos1449,issue,2,1365
yonaskolb,KacperCzapp,issue,2,1362
yonaskolb,OmranK,issue,2,1356
antonyalkmim,OdNairy,pr,2,1354
liamnichols,OdNairy,pr,2,1354
liamnichols,OdNairy,pr,2,1354
yonaskolb,OdNairy,pr,2,1354
teameh,mat1th,pr,2,1351
teameh,mat1th,pr,2,1351
yonaskolb,avkin88,issue,2,1350
krishsatya,Adobels,issue,2,1349
kaienkira,Adobels,issue,2,1349
joristimmerman,Adobels,issue,2,1349
razor313,Adobels,issue,2,1349
yonaskolb,Adobels,issue,2,1349
yonaskolb,dungi,issue,2,1347
yonaskolb,shnhrrsn,pr,2,1337
yonaskolb,amatig,pr,2,1336
bdrelling,amatig,pr,2,1336
FelixLisczyk,amatig,pr,2,1336
FelixLisczyk,amatig,pr,2,1336
yonaskolb,aquintiliano-encora,issue,2,1331
yonaskolb,dungi,issue,2,1330
yonaskolb,qwn3,issue,2,1319
yonaskolb,DanielSincere,issue,2,1318
yonaskolb,Iron-Ham,pr,2,1317
yonaskolb,mathieuavo,issue,2,1312
amatig,codebendr-product-designer,issue,2,1306
nishchal-v,dungi,issue,2,1300
PaulOmta-TomTom,FelixLisczyk,issue,2,1299
yonaskolb,FelixLisczyk,issue,2,1299
CraigSiemens,FelixLisczyk,issue,2,1299
grigorye,FelixLisczyk,issue,2,1299
grigorye,FelixLisczyk,issue,2,1299
yonaskolb,FelixLisczyk,issue,2,1299
yonaskolb,LouisLWang,pr,2,1294
yonaskolb,LouisLWang,pr,2,1294
yonaskolb,technocidal,issue,2,1290
clausjoergensen,technocidal,issue,2,1290
iteracticman,technocidal,issue,2,1290
iammxrn,technocidal,issue,2,1290
sborovikov-belkacar,technocidal,issue,2,1290
ronnie-codes,technocidal,issue,2,1290
BarredEwe,technocidal,issue,2,1290
BarredEwe,technocidal,issue,2,1290
yonaskolb,technocidal,issue,2,1290
flopshot,technocidal,issue,2,1290
truemetal,technocidal,issue,2,1290
yonaskolb,technocidal,issue,2,1290
BarredEwe,technocidal,issue,2,1290
technocidal,WHuangz88,issue,2,1289
yonaskolb,anandios,issue,2,1281
TemperMichael,anandios,issue,2,1281
yonaskolb,ikajava,issue,2,1278
zelanastasia,ikajava,issue,2,1278
yonaskolb,WeijunDeng,issue,2,1277
yonaskolb,ma-oli,pr,2,1275
cal-os,nico-dkd,issue,2,1269
cal-os,nico-dkd,issue,2,1269
aaron-foreflight,nico-dkd,issue,2,1269
yonaskolb,nico-dkd,issue,2,1269
yonaskolb,nico-dkd,issue,2,1269
yonaskolb,CraigSiemens,pr,2,1262
yonaskolb,CraigSiemens,pr,2,1262
ma-oli,CraigSiemens,pr,2,1262
ma-oli,CraigSiemens,pr,2,1262
yonaskolb,CraigSiemens,pr,2,1262
yonaskolb,CraigSiemens,pr,2,1262
yonaskolb,MojtabaHs,issue,2,1259
dungi,MartinP7r,issue,2,1257
dungi,MartinP7r,issue,2,1257
baveku,MartinP7r,issue,2,1257
dungi,MartinP7r,issue,2,1257
dungi,MartinP7r,issue,2,1257
baveku,MartinP7r,issue,2,1257
dungi,MartinP7r,issue,2,1257
dungi,MartinP7r,issue,2,1257
dungi,MartinP7r,issue,2,1257
dungi,MartinP7r,issue,2,1257
ccworld1000,MartinP7r,issue,2,1257
ccworld1000,MartinP7r,issue,2,1257
ccworld1000,MartinP7r,issue,2,1257
ccworld1000,MartinP7r,issue,2,1257
ccworld1000,MartinP7r,issue,2,1257
ccworld1000,MartinP7r,issue,2,1257
yonaskolb,Shinolr,pr,2,1243
giginet,freddi-kit,pr,2,1242
yonaskolb,freddi-kit,pr,2,1242
yonaskolb,rgnns,pr,2,1241
Dennisdezhangaho,clausjoergensen,issue,2,1238
adammcarter,clausjoergensen,issue,2,1238
yonaskolb,clausjoergensen,issue,2,1238
casperriboe,clausjoergensen,issue,2,1238
freddi-kit,aleksproger,pr,2,1234
yonaskolb,mtj0928,pr,2,1230
alessionossa,mtj0928,pr,2,1230
yonaskolb,mtj0928,pr,2,1230
freddi-kit,mtj0928,pr,2,1230
yonaskolb,mtj0928,pr,2,1230
yonaskolb,aleksproger,pr,2,1228
freddi-kit,muukii,issue,2,1225
freddi-kit,muukii,issue,2,1225
alessionossa,freddi-kit,issue,2,1224
alessionossa,freddi-kit,issue,2,1224
